id,username,created_at,lng,lat,text
1517209426037559296,joanneborzakian,Thu Apr 21 18:31:30 +0000 2022,-71.19867049999999,42.22117299999999,@DickBenedict @KeithSmithNBA @jaytatum0 I’m doing ok thank you! Happy to have been a small part in ‘The energy is a… https://t.co/jMb564uQ7U
1517209432475811840,CashWalken,Thu Apr 21 18:31:31 +0000 2022,-73.393711,41.369403500000004,@CallMeRaceHorse Appreciate you brotha
1517209443737509889,elpiqui,Thu Apr 21 18:31:34 +0000 2022,-71.11939,42.35201,Just posted a photo @ Paradise Rock Club https://t.co/neBKZrU3Kd
1517209456014098432,bassah_sage,Thu Apr 21 18:31:37 +0000 2022,-117.143737,47.664707,"@levipeachx Wow. I stay horny looking on here at guys like this,,wow. You can have my ass"
1517209463555567616,GerryHaas,Thu Apr 21 18:31:39 +0000 2022,-70.95940049999999,42.118502500000005,@EmilyLCarney I always thought it was cool that the vote to build shuttle was announced as Young was walking on moo… https://t.co/p4AZkseWZD
1517209482576773120,CTDOT_District1,Thu Apr 21 18:31:43 +0000 2022,-72.649199,41.715984,Cleared: Disabled Vehicle - WETHERSFIELD #I91 South at Exit 26 (GREAT MEADOW RD) at 4/21/2022 2:31:02 PM
1517209482597654528,CTDOT_Statewide,Thu Apr 21 18:31:43 +0000 2022,-72.649199,41.715984,Cleared: Disabled Vehicle - WETHERSFIELD #I91 South at Exit 26 (GREAT MEADOW RD) at 4/21/2022 2:31:02 PM
1517209485726547969,jonaweenie,Thu Apr 21 18:31:44 +0000 2022,-122.194398,47.481598,her smile is contagious 🥹💗✨ https://t.co/Wi5ZD4VZbO
1517209495801409536,UhKneeSeeYa,Thu Apr 21 18:31:46 +0000 2022,-71.112377,42.3781975,Wow look at us @KelSamLiz 🥲 https://t.co/26rcXaBXVm
1517209503443337217,RebeccaRuth_,Thu Apr 21 18:31:48 +0000 2022,-71.683502,42.036939000000004,It’s my #birthday today. I’m 41 years #old. I don’t feel #FortyOne yet. I don’t want to #age I’m not very good at t… https://t.co/NdO4AGP2ur
1517209521877184512,aaliyyaahh_,Thu Apr 21 18:31:53 +0000 2022,-122.5243325,45.6831065,this tour is gonna be amazing! and I can’t wait
1517209547030646787,VicsMovieDen,Thu Apr 21 18:31:59 +0000 2022,-75.77004099999999,42.746617,"@BatQuinn5801 For new releases I go for 4K. But only certain titles I upgrade. Like I upgraded my Indy movies, the… https://t.co/31Oe2HRXF2"
1517209580014604293,bowman1951,Thu Apr 21 18:32:06 +0000 2022,-71.2786385,42.299398,@MarissaMeleske Not when those services will be shifted from Disney to the taxpayers.
1517209588185145346,CTDOT_District3,Thu Apr 21 18:32:08 +0000 2022,-73.345201,41.123218,Cleared: Delays - WESTPORT #I95 South 0.86 miles beyond Exit 18 (SHERWOOD ISLAND CONNECTOR) at 4/21/2022 2:32:02 PM
1517209588088688643,CTDOT_Statewide,Thu Apr 21 18:32:08 +0000 2022,-73.345201,41.123218,Cleared: Delays - WESTPORT #I95 South 0.86 miles beyond Exit 18 (SHERWOOD ISLAND CONNECTOR) at 4/21/2022 2:32:02 PM
1517209591527976960,BWAD88,Thu Apr 21 18:32:09 +0000 2022,-71.4218325,41.817084,Just wanna let @NESN know I'm not watching your bullshit station until you apologize or even knowledge how fucking… https://t.co/B98QoM8RAr
1517209612927131649,QuickestTempa,Thu Apr 21 18:32:14 +0000 2022,-122.4269055,47.0895845,The internet is crazy loool people really think they know you &amp; try to tell you who you are https://t.co/6ds3LXQVAh
1517209638579572736,RKDProductions,Thu Apr 21 18:32:20 +0000 2022,-117.434547,47.667438,@trashlynnmarie I was sober for this… 🤷🏻‍♂️ #MorningGlory https://t.co/bOmaNRTLur
1517209697895428096,AngryJackHarlow,Thu Apr 21 18:32:35 +0000 2022,-122.415955,47.1749995,"@beefcake_180 If you think about it, chains really are universal clothing accessory. Goth, Skater, hip hop and lite… https://t.co/6j0ioDKlig"
1517209699636195329,amybisson,Thu Apr 21 18:32:35 +0000 2022,-71.326858,42.636248,@SmithDryGoods I’d go full-on Dear Abby: “why would you feel the need to ask a stranger such a personal question?”… https://t.co/LO8ymim0vh
1517209701171167233,ZekeGary2,Thu Apr 21 18:32:35 +0000 2022,-120.882482,47.273022,Very well stated Stephen and the major reason @LeaderMcConnell @GOPLeader Kevin McCarthy &amp; @GOPChairwoman need repl… https://t.co/ztp2RQUqdt
1517209712047108096,anniwithoutane,Thu Apr 21 18:32:38 +0000 2022,-71.0887125,42.3136695,@GametoGrow I saw your panel. The one thing I wanted to ask (I don’t have the breath to do it in voice) is that are… https://t.co/rnU3s2gOXR
1517209726299353088,LockDownAL_,Thu Apr 21 18:32:41 +0000 2022,-72.27397500000001,41.818713,Whats the shape of Italy?
1517209753767886857,TownAndField,Thu Apr 21 18:32:48 +0000 2022,-71.683502,42.036939000000004,"@Roshan_Rinaldi In time of anti science, this is absolutely necessary."
1517209761481170944,HowNeilFeels,Thu Apr 21 18:32:50 +0000 2022,-71.5461325,41.975885500000004,@NotBrianKamler The sweater tied at the waist 🤢🤢🤢
1517209798965547008,lifeinrewind,Thu Apr 21 18:32:59 +0000 2022,-122.205946,47.773496,@NucksNBirds This is why I just go to my friend who has her own salon. I'm supporting her business and I don't get ripped off
1517209807828123649,tmj_ctg_adv,Thu Apr 21 18:33:01 +0000 2022,-72.7228293,41.6972996,"Don't submit then quit. Apply for jobs like ""PRODUCT / EVENT DEMONSTRATOR - PART TIME"" at CROSSMARK, then look for… https://t.co/HY5ssxJOr0"
1517209819274432517,fg_turtle,Thu Apr 21 18:33:03 +0000 2022,-71.0887125,42.3136695,Why would you piss off Mike Tyson?
1517209819454873603,CTDOT_District3,Thu Apr 21 18:33:04 +0000 2022,-72.812094,41.489654,Cleared: Road Work - WALLINGFORD #RT15 South 0.36 miles beyond Exit 66 (RTE 5) at 4/21/2022 2:33:02 PM
1517209819584909315,CTDOT_Statewide,Thu Apr 21 18:33:04 +0000 2022,-72.812094,41.489654,Cleared: Road Work - WALLINGFORD #RT15 South 0.36 miles beyond Exit 66 (RTE 5) at 4/21/2022 2:33:02 PM
1517209823607021570,SpeenerMan,Thu Apr 21 18:33:05 +0000 2022,-122.11002350000001,47.4851855,@0x_fxnction Bling bling fam 💎 https://t.co/PqPHgqy13l
